Game name;Game genre;Rating;Game developer;Game developer website;Game publisher;Game publisher website;Current players;24h peak players;all-time peak players
Phasmophobia;Horror Online Co-Op Multiplayer Psychological Horror;95.88%;Kinetic Games;https://steamdb.info/https://steamdb.info/developer/Kinetic+Games/;does not exist;does not exist;13680;22281;112717
Unturned;Free to Play Survival Zombies Multiplayer Open World;90.71%;Smartly Dressed Games;https://steamdb.info/https://steamdb.info/developer/Smartly+Dressed+Games/;does not exist;does not exist;41673;42111;112703
EA SPORTS™ FIFA 23;Football (Soccer) Sports eSports Controller;50.38%;EA Canada & EA Romania;https://steamdb.info/https://steamdb.info/developer/EA+Canada+%26+EA+Romania/;Electronic Arts;https://steamdb.info/https://steamdb.info/publisher/Electronic+Arts/;53553;63345;110878
Dark and Darker Demo;does not exist;does not exist;IRONMACE;https://steamdb.info/https://steamdb.info/developer/IRONMACE/;does not exist;does not exist;0;0;108520
Warhammer 40,000: Darktide;Warhammer 40K Gore Adventure Online Co-Op;54.01%;Fatshark;https://steamdb.info/https://steamdb.info/developer/Fatshark/;does not exist;does not exist;5775;7550;108395
FIFA 22;Football (Soccer) Sports Multiplayer Controller;79.24%;EA Canada & EA Romania;https://steamdb.info/https://steamdb.info/developer/EA+Canada+%26+EA+Romania/;Electronic Arts;https://steamdb.info/https://steamdb.info/publisher/Electronic+Arts/;14651;17443;108295
Dread Hunger;Multiplayer Survival Social Deduction Online Co-Op;60.90%;Dread Hunger Team;https://steamdb.info/https://steamdb.info/developer/Dread+Hunger+Team/;Digital Confectioners;https://steamdb.info/https://steamdb.info/publisher/Digital+Confectioners/;9820;10345;107982
Guns of Icarus Online;Steampunk Team-Based Multiplayer Co-op;87.91%;Muse Games;https://steamdb.info/https://steamdb.info/developer/Muse+Games/;does not exist;does not exist;2;47;107883
Resident Evil Village;Survival Horror Horror First-Person Singleplayer;94.27%;CAPCOM Co., Ltd.;https://steamdb.info/https://steamdb.info/developer/CAPCOM+Co.%2C+Ltd./;does not exist;does not exist;3490;3490;106631
Farming Simulator 22;Simulation Farming Sim Co-op Agriculture;88.80%;Giants Software;https://steamdb.info/https://steamdb.info/developer/Giants+Software/;does not exist;does not exist;32849;33877;105636
Realm Royale Reforged;Battle Royale Free to Play Multiplayer Shooter;74.79%;Heroic Leap Games;https://steamdb.info/https://steamdb.info/developer/Heroic+Leap+Games/;Hi-Rez Studios;https://steamdb.info/https://steamdb.info/publisher/Hi-Rez+Studios/;550;712;105440
Battlefield™ 2042;Shooter Multiplayer FPS Action War Military;34.47%;DICE;https://steamdb.info/https://steamdb.info/developer/DICE/;Electronic Arts;https://steamdb.info/https://steamdb.info/publisher/Electronic+Arts/;20328;20328;105397
Dead by Daylight;Horror Survival Horror Multiplayer Online Co-Op;80.97%;Behaviour Interactive Inc.;https://steamdb.info/https://steamdb.info/developer/Behaviour+Interactive+Inc./;does not exist;does not exist;50907;55958;105093
DOOM Eternal;Action FPS Great Soundtrack Gore Fast-Paced;89.68%;id Software;https://steamdb.info/https://steamdb.info/developer/id+Software/;Bethesda Softworks;https://steamdb.info/https://steamdb.info/publisher/Bethesda+Softworks/;1597;1967;104891
Warhammer: Vermintide 2;Co-op First-Person Dark Fantasy Games Workshop;83.58%;Fatshark;https://steamdb.info/https://steamdb.info/developer/Fatshark/;does not exist;does not exist;8017;8074;104323
The Witcher 3: Wild Hunt;Open World RPG Story Rich Atmospheric Mature;95.16%;CD PROJEKT RED;https://steamdb.info/https://steamdb.info/developer/CD+PROJEKT+RED/;does not exist;does not exist;24379;24379;103329
DELTARUNE (Chapter 1 & 2 DEMO);does not exist;does not exist;tobyfox;https://steamdb.info/https://steamdb.info/developer/tobyfox/;does not exist;does not exist;479;662;102916
Raft;Survival Open World Survival Craft Multiplayer;92.70%;Redbeet Interactive;https://steamdb.info/https://steamdb.info/developer/Redbeet+Interactive/;Axolot Games;https://steamdb.info/https://steamdb.info/publisher/Axolot+Games/;13732;14259;101096
War Thunder;Free to Play Vehicular Combat Combat VR;77.95%;Gaijin Entertainment;https://steamdb.info/https://steamdb.info/developer/Gaijin+Entertainment/;Gaijin Distribution KFT;https://steamdb.info/https://steamdb.info/publisher/Gaijin+Distribution+KFT/;91882;100779;100779
Counter-Strike: Source;Shooter Action FPS Multiplayer Team-Based;94.97%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;4205;5162;100056
Crusader Kings III;Strategy Simulation RPG Grand Strategy Historical;90.85%;Paradox Development Studio;https://steamdb.info/https://steamdb.info/developer/Paradox+Development+Studio/;Paradox Interactive;https://steamdb.info/https://steamdb.info/publisher/Paradox+Interactive/;16566;18274;98872
Portal 2;Platformer Puzzle Dark Humor First-Person;97.71%;Valve;https://steamdb.info/https://steamdb.info/developer/Valve/;does not exist;does not exist;5235;6728;98460
MIR4;PvE PvP MMORPG Martial Arts RPG Demons;63.90%;Wemade Next;https://steamdb.info/https://steamdb.info/developer/Wemade+Next/;Wemade;https://steamdb.info/https://steamdb.info/publisher/Wemade/;37885;38009;97173
Terra Nil Demo;does not exist;does not exist;Free Lives;https://steamdb.info/https://steamdb.info/developer/Free+Lives/;Devolver Digital;https://steamdb.info/https://steamdb.info/publisher/Devolver+Digital/;44;51;96520
The Sims™ 4;Free to Play Life Sim Building Character Customization;85.83%;Maxis;https://steamdb.info/https://steamdb.info/developer/Maxis/;Electronic Arts;https://steamdb.info/https://steamdb.info/publisher/Electronic+Arts/;35861;42480;96328
Kingdom Come: Deliverance;Medieval RPG Open World Singleplayer Realistic;81.68%;Warhorse Studios;https://steamdb.info/https://steamdb.info/developer/Warhorse+Studios/;"Warhorse Studios; Prime Matter";"https://steamdb.info/https://steamdb.info/publisher/Warhorse+Studios/; https://steamdb.info/https://steamdb.info/publisher/Prime+Matter/";7288;7359;96069
FINAL FANTASY XIV Online;MMORPG RPG Massively Multiplayer Fantasy;87.31%;Square Enix;https://steamdb.info/https://steamdb.info/developer/Square+Enix/;does not exist;does not exist;20666;34710;95150
Stardew Valley;Farming Sim Life Sim Pixel Graphics RPG Multiplayer;97.31%;ConcernedApe;https://steamdb.info/https://steamdb.info/developer/ConcernedApe/;does not exist;does not exist;44333;48323;94879
Football Manager 2021;Sports Simulation Management Football (Soccer);91.33%;Sports Interactive;https://steamdb.info/https://steamdb.info/developer/Sports+Interactive/;SEGA;https://steamdb.info/https://steamdb.info/publisher/SEGA/;5942;6033;93865
Borderlands 3;RPG Action Looter Shooter FPS Multiplayer;83.61%;Gearbox Software;https://steamdb.info/https://steamdb.info/developer/Gearbox+Software/;2K;https://steamdb.info/https://steamdb.info/publisher/2K/;14461;15870;93820
Divinity: Original Sin 2;Tactical RPG RPG Turn-Based Strategy Story Rich;94.78%;Larian Studios;https://steamdb.info/https://steamdb.info/developer/Larian+Studios/;does not exist;does not exist;10921;11808;93701
Sins of a Solar Empire: Rebellion;Real Time Tactics Space Sim 4X RTS Grand Strategy;90.74%;"Ironclad Games; Stardock Entertainment";"https://steamdb.info/https://steamdb.info/developer/Ironclad+Games/; https://steamdb.info/https://steamdb.info/developer/Stardock+Entertainment/";Stardock Entertainment;https://steamdb.info/https://steamdb.info/publisher/Stardock+Entertainment/;558;867;93109
Far Cry 5;Open World Co-op Multiplayer Action FPS;79.20%;"Ubisoft Montreal; Red Storm; Ubisoft Shanghai; Ubisoft Toronto; Ubisoft Kiev";"https://steamdb.info/https://steamdb.info/developer/Ubisoft+Montreal/; https://steamdb.info/https://steamdb.info/developer/Red+Storm/; https://steamdb.info/https://steamdb.info/developer/Ubisoft+Shanghai/; https://steamdb.info/https://steamdb.info/developer/Ubisoft+Toronto/; https://steamdb.info/https://steamdb.info/developer/Ubisoft+Kiev/";Ubisoft;https://steamdb.info/https://steamdb.info/publisher/Ubisoft/;7118;8061;92445
Sid Meier's Civilization V;Turn-Based Strategy Strategy Turn-Based Multiplayer;94.96%;"Firaxis Games; Aspyr (Mac); Aspyr (Linux)";"https://steamdb.info/https://steamdb.info/developer/Firaxis+Games/; https://steamdb.info/https://steamdb.info/developer/Aspyr+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Aspyr+%28Linux%29/";"2K; Aspyr (Mac); Aspyr (Linux)";"https://steamdb.info/https://steamdb.info/publisher/2K/; https://steamdb.info/https://steamdb.info/publisher/Aspyr+%28Mac%29/; https://steamdb.info/https://steamdb.info/publisher/Aspyr+%28Linux%29/";19590;23300;91363
METAL GEAR SOLID V: THE PHANTOM PAIN;Stealth Open World Action Story Rich Tactical;89.66%;Konami Digital Entertainment;https://steamdb.info/https://steamdb.info/developer/Konami+Digital+Entertainment/;does not exist;does not exist;2119;2200;91195
Battlefield™ V;FPS World War II Multiplayer Shooter Singleplayer;70.31%;DICE;https://steamdb.info/https://steamdb.info/developer/DICE/;Electronic Arts;https://steamdb.info/https://steamdb.info/publisher/Electronic+Arts/;19573;24114;89814
Tomb Raider;Adventure Action Female Protagonist Third Person;95.04%;"Crystal Dynamics; Eidos-Montréal; Feral Interactive (Mac); Nixxes";"https://steamdb.info/https://steamdb.info/developer/Crystal+Dynamics/; https://steamdb.info/https://steamdb.info/developer/Eidos-Montr%C3%A9al/; https://steamdb.info/https://steamdb.info/developer/Feral+Interactive+%28Mac%29/; https://steamdb.info/https://steamdb.info/developer/Nixxes/";"Crystal Dynamics; Feral Interactive (Mac)";"https://steamdb.info/https://steamdb.info/publisher/Crystal+Dynamics/; https://steamdb.info/https://steamdb.info/publisher/Feral+Interactive+%28Mac%29/";1032;1083;89538
Devil May Cry 5;Action Hack and Slash Great Soundtrack Character Action Game;93.97%;CAPCOM Co., Ltd.;https://steamdb.info/https://steamdb.info/developer/CAPCOM+Co.%2C+Ltd./;does not exist;does not exist;4402;4960;88894
Football Manager 2022;Action Hack and Slash Great Soundtrack Character Action Game;93.97%;CAPCOM Co., Ltd.;https://steamdb.info/https://steamdb.info/developer/CAPCOM+Co.%2C+Ltd./;does not exist;does not exist;17429;17751;88767
Starbound;Sports Management Football (Soccer) Simulation;90.34%;Sports Interactive;https://steamdb.info/https://steamdb.info/developer/Sports+Interactive/;SEGA;https://steamdb.info/https://steamdb.info/publisher/SEGA/;1834;2222;88709
Lost Ark Closed Technical Beta;Open World Survival Craft Sandbox Survival;91.54%;Chucklefish;https://steamdb.info/https://steamdb.info/developer/Chucklefish/;does not exist;does not exist;0;0;88075
