Title;Subtitle;Image;Standart Price;Discount Price;Discount;Messaning
Nike Court Borough Mid 2;Big Kids' Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/435ee6cd-b8c8-443b-803a-4fe94f996bd2/court-borough-mid-2-big-kids-shoes-3n7hz5.png;$70;$59.97;86%;Best Seller
Nike Air Force 1 '07;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0bdff46a-1095-4811-a4ed-65386745187b/air-force-1-07-womens-shoes-J7xDwP.png;$130;$110.97;85%;
Nike Air Vapormax 2021 FK;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c785cb87-409d-4b04-9d54-eab0576cb27a/air-vapormax-2021-fk-womens-shoes-1WB8SL.png;$210;$157.97;75%;Sustainable Materials
Nike Air VaporMax Plus;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/313f2680-ac54-4f43-a02e-f917ce094ec5/air-vapormax-plus-mens-shoes-nC0dzF.png;$210;$164.97;79%;
Nike Air Monarch IV;Men's Training Shoe (Extra Wide);https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/80da5503-747d-48f3-bd69-d6c5b5e531a6/air-monarch-iv-mens-training-shoe-extra-wide-FZwDht.png;$75;$60.97;81%;
Nike Renew In-Season TR 12;Women's Training Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/34f6cead-414e-45fa-a6cb-2e3ce17e7072/renew-in-season-tr-12-womens-training-shoes-bttk75.png;$80;$56.97;71%;
Nike SuperRep Go 3 Flyknit Next Nature;Women's Training Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3390f16e-b2b5-4574-ab31-c7569fb7f115/superrep-go-3-flyknit-next-nature-womens-training-shoes-hSZBdX.png;$100;$80.97;81%;Sustainable Materials
Nike Flex Experience Run 11 Next Nature;Men's Road Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4534797a-0713-48aa-8e5e-41e99c92ef16/flex-experience-run-11-next-nature-mens-road-running-shoes-WljhRq.png;$70;$41.97;60%;Sustainable Materials
Jordan ADG 4;Men's Golf Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/65cd4a9e-183e-4c2f-a914-a2a47149286d/jordan-adg-4-mens-golf-shoes-zw1ZGK.png;$185;$128.97;70%;
Nike Air Max Axis;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/wapmvaedloeagwt0vxst/air-max-axis-womens-shoes-cCWT9q.png;$90;$74.97;83%;
Nike Benassi JDI;Men's Slides;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/n4cg66kxs8rkczojfwyi/benassi-jdi-mens-slides-JMOEGm.png;$25;$21.97;88%;
Nike Air Force 1 '07 SE;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a26e0cc6-216e-4f1f-b591-fe6da5eba827/air-force-1-07-se-womens-shoes-XSwHNZ.png;$110;$72.97;66%;
Nike Go FlyEase;Easy On/Off Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fb70b7e2-5594-4382-a529-7b342057e6a6/go-flyease-easy-on-off-shoes-6nd2cc.png;$120;$92.97;77%;
Nike Air Force 1 LV8;Big Kids' Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8482e6fb-0279-4ca7-8120-08210be39584/air-force-1-lv8-big-kids-shoes-jgTnLK.png;$95;$72.97;77%;
