Title;Subtitle;Image;Standart Price;Discount Price;Discount;Messaning
Nike Dri-FIT Run Division Challenger;"Men's 5"" Brief-Lined Running Shorts";https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/67f19e21-044d-4215-bcb4-45a8d24430ae/dri-fit-run-division-challenger-mens-5-brief-lined-running-shorts-p9sHRw.png;$45;$30.97;31%;Sustainable Materials
Jordan Flight Heritage;Men's Liner Jacket;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c9992adb-2992-47c2-bee8-0468c7a655bf/jordan-flight-heritage-mens-liner-jacket-Tj6HnD.png;$250;$124.97;50%;Sustainable Materials
Jordan Flight Heritage;Men's Woven Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6c64a5c8-b68d-4dd6-ab47-5bda769e9511/jordan-flight-heritage-mens-woven-pants-KhZ3nj.png;$150;$122.97;18%;
Jordan Brooklyn;Women's Fleece Crew;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bf3f799f-737f-44b8-b6b7-bb0e03d9721c/jordan-brooklyn-womens-fleece-crew-CBV5JH.png;$70;$45.97;34%;
Jordan Brooklyn;Women's Fleece Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bffcecc9-2562-49b6-918c-247113ab7a74/jordan-brooklyn-womens-fleece-pants-w9sz9N.png;$75;$42.97;43%;
Nike Sportswear;Big Kids' Biosphere T-Shirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b30f194a-aae9-4045-b82d-b32ff3164331/sportswear-big-kids-biosphere-t-shirt-MTBpLn.png;$30;$17.97;40%;Sustainable Materials
Nike Sportswear;Big Kids' (Girls') Oversized Fleece Dance Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a89f1a1a-4414-46ce-bda0-c162eccab1e6/sportswear-big-kids-girls-oversized-fleece-dance-pants-QKDbwC.png;$50;$25.97;48%;
Nike Sportswear Icon Fleece;Big Kids' (Girls') Sweatshirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/be4437ea-9399-421b-b952-f008d94abe79/sportswear-icon-fleece-big-kids-girls-sweatshirt-j9BcWp.png;$50;$25.97;48%;
Nike Sportswear A.I.R. Icon Fleece;Big Kids' Loose Shorts;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0a792d6a-e3aa-4aea-baec-dd603e11cf5b/sportswear-air-icon-fleece-big-kids-loose-shorts-ZXvK7d.png;$45;$22.97;49%;
Nike Sportswear Phoenix Fleece;Women's 3/4-Sleeve Crop Polo Sweatshirt (Plus Size);https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/12d50076-9cbe-4502-acad-74923571ff82/sportswear-phoenix-fleece-womens-3-4-sleeve-crop-polo-sweatshirt-plus-size-307Q03.png;$70;$59.97;14%;
Nike Swoosh;Men's Woven Jacket;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/28b62800-a0f8-4525-9842-13f5fc8b447b/swoosh-mens-woven-jacket-mPbLmW.png;$125;$68.97;45%;
Nike Sportswear Swoosh;Men's Woven Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7f97f581-3a5c-4b22-ad4e-a4c00d6a2b3e/sportswear-swoosh-mens-woven-pants-FFsD00.png;$105;$68.97;34%;
Nike Sportswear Club Fleece;Women's Logo Pullover Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fd409ffe-12ea-46b3-9c62-979c50509b88/sportswear-club-fleece-womens-logo-pullover-hoodie-07xm3D.png;$60;$51.97;13%;
Nike Sportswear Club Fleece;Women's Mid-Rise Joggers;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fb4c0973-b98e-4e49-976d-ff76c4e3e749/sportswear-club-fleece-womens-mid-rise-joggers-Mh5ZPg.png;$50;$42.97;14%;Best Seller
Nike Sportswear Tech Fleece;Men's Full-Zip Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cb407ca7-49bb-4316-8153-9889227f9710/sportswear-tech-fleece-mens-full-zip-hoodie-5ZtTtk.png;$130;$97.97;25%;Best Seller
Nike Sportswear Tech Fleece;Men's Joggers;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/213b0826-aae0-47c9-8aa0-c4ccb49a2583/sportswear-tech-fleece-mens-joggers-4x29ft.png;$110;$76.97;30%;Best Seller
Nike Sportswear Club Fleece;Toddler Hoodie and Joggers Set;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/57bd463b-0305-4eb3-b56f-18eb79c0d645/sportswear-club-fleece-toddler-hoodie-and-joggers-set-msdrwB.png;$60;$32.97;45%;
Nike;Toddler Hoodie and Joggers Set;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bae36eb6-0c9b-4ab3-bca0-3d9fd31202ec/toddler-hoodie-and-joggers-set-tB4mnC.png;$60;$33.97;43%;
Nike Ball For All Tee;Toddler T-Shirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/34a7e862-cc0c-45e2-af1a-63cdf610d4fb/ball-for-all-tee-toddler-t-shirt-647dtc.png;$20;$15.97;20%;
Nike Pro 365;"Women's 5"" Shorts";https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b44ce0a9-3293-4c5a-ae10-5e642c1ebb14/pro-365-womens-5-shorts-d7TXG0.png;$30;$25.97;13%;Best Seller
Nike Therma-FIT All Time;Women's Training Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1cdd3c3a-2dc9-4887-9746-dd14640ed3f8/therma-fit-all-time-womens-training-pants-Khc9X9.png;$60;$36.97;38%;
Nike Sportswear Essential;Women's 7/8 Mid-Rise Leggings;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8ddaac59-4809-4ba4-8722-ea692e093918/sportswear-essential-womens-7-8-mid-rise-leggings-q9Rh6D.png;$42;$35.97;14%;
Nike Sportswear Club Fleece;Men's Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c55e94fa-4c3c-4aab-a498-8ccc9b57bea1/sportswear-club-fleece-mens-pants-jmbdcZ.png;$45;$38.97;13%;Best Seller
Nike Dri-FIT Get Fit;Women's Graphic Crewneck Sweatshirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c42660ec-f03d-4598-a568-77ae61eb9d53/dri-fit-get-fit-womens-graphic-crewneck-sweatshirt-nSq5fk.png;$60;$45.97;23%;
Nike Sportswear Club Fleece;Men's Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e4afbaae-46dd-46bb-8f54-e4b41ccafce3/sportswear-club-fleece-mens-pants-j3nqxx.png;$45;$29.97;33%;Best Seller
Nike Therma;Women's Training Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7c1dbcdb-a8a1-41ae-9bc6-b86a15107405/therma-womens-training-pants-vqdtTv.png;$58;$20.97;64%;
Nike Sportswear Club Fleece;Men's Cargo Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e08fe737-9097-402b-97cb-9fe1ebd5135b/sportswear-club-fleece-mens-cargo-pants-NhXSTS.png;$55;$33.97;38%;Best Seller
Jordan Brooklyn Fleece;Men's Pullover Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7073df91-ff9c-496f-a396-a2c0c63b9151/jordan-brooklyn-fleece-mens-pullover-hoodie-xLrX6F.png;$70;$47.97;31%;Best Seller
Jordan Essential Winter;Men's Fleece Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/147ddf1b-a8bf-4f82-8d60-611669ff7d76/jordan-essential-winter-mens-fleece-hoodie-x8MqLP.png;$80;$65.97;18%;Sustainable Materials
Nike Sportswear Club Fleece;Big Kids' (Girls') 1/2-Zip Top;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9013086f-3626-4f90-8a1b-896efda79a44/sportswear-club-fleece-big-kids-girls-1-2-zip-top-MTFBrG.png;$45;$22.97;49%;
Nike Sportswear Club Fleece;Big Kids' (Boys') Winterized Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3f348d35-e46e-46b5-a69d-c38f06989195/sportswear-club-fleece-big-kids-boys-winterized-pants-T0QCzT.png;$55;$26.97;51%;
Nike Everyday Plus Cushioned;Training Crew Socks;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9ef179ae-2a54-4381-b145-3e3e6e992a70/everyday-plus-cushioned-training-crew-socks-VKWvgn.png;$10;$8.97;10%;Best Seller
Nike Dri-FIT;"Men's 9"" Woven Training Shorts";https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6e58e7e6-f577-44ca-ba9c-5aeec523c8e1/dri-fit-mens-9-woven-training-shorts-tpbhZr.png;$35;$22.97;34%;Sustainable Materials
Nike Dri-FIT;Men's Training Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c13e59b5-81ea-4847-a176-29719973949f/dri-fit-mens-training-pants-41n6G2.png;$60;$45.97;23%;Sustainable Materials
Nike Performance;Women's Game Volleyball Shorts;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bazp7wror9wcy7npvaye/performance-womens-game-volleyball-shorts-VrTWY080.png;$30;$17.97;40%;
Nike Indy;Women's Light-Support Padded V-Neck Sports Bra;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8b95744e-3817-4307-bcc5-7f6dfb052eea/indy-womens-light-support-padded-v-neck-sports-bra-tcglhV.png;$38;$28.97;24%;Sustainable Materials
Nike Sportswear Futura;Men's T-Shirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/883b2797-ecfe-4ef5-9da9-431957a21674/sportswear-futura-mens-t-shirt-Wm0Fv4.png;$25;$16.97;32%;
Nike Swoosh;Women's Medium-Support Non-Padded Sports Bra;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cde26d49-5031-4a78-b3e1-fac4efdf64f0/swoosh-womens-medium-support-non-padded-sports-bra-nJBVMQ.png;$35;$18.97;46%;Best Seller
Nike Bliss;Women's Training Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/85c70e51-13a9-4b7a-9f52-a268575dd316/bliss-womens-training-pants-fglNqN.png;$105;$69.97;33%;
Nike Sportswear;Men's T-Shirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e1eed426-69c4-4d1d-ac03-4b66b75420a3/sportswear-mens-t-shirt-48ltWt.png;$35;$20.97;40%;
Nike Sportswear Club Fleece;Women's Funnel-Neck Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/066d73e2-3967-4b31-ba65-708d4b58fc41/sportswear-club-fleece-womens-funnel-neck-hoodie-8MR6lM.png;$55;$46.97;15%;
